d,epsilon,margin,eta,support,survivors,worst
3,0.071,0.133333333333,0.106666666667,3,1,1
3,0.217,0.133333333333,0.106666666667,3,1,1
3,0.413,0.133333333333,0.106666666667,3,1,1
3,0.613,0.133333333333,0.106666666667,3,1,1
4,0.071,0.1,0.08,4,1,1
4,0.217,0.1,0.08,4,1,1
4,0.413,0.1,0.08,4,1,1
4,0.613,0.2,0.16,4,5,0.5
5,0.071,0.08,0.064,5,1,1
5,0.217,0.08,0.064,5,1,1
5,0.413,0.16,0.128,5,6,0.6
5,0.613,0.16,0.128,5,6,0.6
6,0.071,0.0666666666667,0.0533333333333,6,1,1
6,0.217,0.0666666666667,0.0533333333333,6,1,1
6,0.413,0.133333333333,0.106666666667,6,7,0.666666666667
6,0.613,0.133333333333,0.106666666667,6,7,0.666666666667
