neutral,method,margin,coverage,support,diagnostic_mass,weights
0,uniform,0.02,0.03,6,1,0.16666667;0.16666667;0.16666667;0.16666667;0.16666667;0.16666667
0,diagnostic_uniform,0.02,0.03,6,1,0.16666667;0.16666667;0.16666667;0.16666667;0.16666667;0.16666667
0,inverse_gap,0.0283719882909,0.0283719882909,6,1,0.35464985;0.23643324;0.15762216;0.11348795;0.081062824;0.056743977
0,inverse_gap_squared,0.00702439801382,0.00702439801382,6,1,0.54878109;0.24390271;0.1084012;0.056195184;0.028671012;0.014048796
0,difficulty_only,0,0,1,1,0;0;0;0;0;1
0,coverage_lp,0.0439637124913,0.0439637124913,5,1,0;0.36636427;0.24424285;0.17585485;0.12561061;0.087927425
0,feature_diversity,0,0,4,1,0.25;0.25;0;0.25;0;0.25
24,uniform,0.004,0.006,30,0.2,0.033333333;0.033333333;0.033333333;0.033333333;0.033333333;0.033333333;0.033333333;0.033333333;0.033333333;0.033333333;0.033333333;0.033333333;0.033333333;0.033333333;0.033333333;0.033333333;0.033333333;0.033333333;0.033333333;0.033333333;0.033333333;0.033333333;0.033333333;0.033333333;0.033333333;0.033333333;0.033333333;0.033333333;0.033333333;0.033333333
24,diagnostic_uniform,0.02,0.03,6,1,0.16666667;0.16666667;0.16666667;0.16666667;0.16666667;0.16666667;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
24,inverse_gap,0.0283719882909,0.0283719882909,6,1,0.35464985;0.23643324;0.15762216;0.11348795;0.081062824;0.056743977;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
24,inverse_gap_squared,0.00702439801382,0.00702439801382,6,1,0.54878109;0.24390271;0.1084012;0.056195184;0.028671012;0.014048796;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
24,difficulty_only,0,0,1,1,0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
24,coverage_lp,0.0439637124913,0.0439637124913,5,1,0;0.36636427;0.24424285;0.17585485;0.12561061;0.087927425;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
24,feature_diversity,0,0,4,0.5,0.25;0;0;0.25;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.25;0;0;0.25;0
