neutral,method,learner,budget,margin,mean_gap,max_gap,mean_crossplay,jackknife_se,worst_crossplay,bad_pair_rate,qualified,certified_count,conditional_worst,distinct
0,uniform,search,256,0.02,0.0226388888889,0.133333333333,0.852173913043,0.0436072586292,0.4,0.474637681159,15,15,0.95,9
0,uniform,search,1024,0.02,0.00763888888889,0.0433333333333,0.95018115942,0.0139627085627,0.75,0.148550724638,20,20,0.95,4
0,uniform,search,4096,0.02,0.000555555555556,0.0133333333333,0.995833333333,0.00416666666667,0.95,0,24,24,0.95,2
0,uniform,reinforce,256,0.02,0.0969444444444,0.188333333333,0.520833333333,0.0302500813758,0,0.95652173913,1,1,1,21
0,uniform,reinforce,1024,0.02,0.0732638888889,0.168333333333,0.60018115942,0.0460391235832,0,0.898550724638,3,3,0.95,16
0,uniform,reinforce,4096,0.02,0.0732638888889,0.168333333333,0.60018115942,0.0460391235832,0,0.898550724638,3,3,0.95,16
0,diagnostic_uniform,search,256,0.02,0.0226388888889,0.133333333333,0.852173913043,0.0436072586292,0.4,0.474637681159,15,15,0.95,9
0,diagnostic_uniform,search,1024,0.02,0.00763888888889,0.0433333333333,0.95018115942,0.0139627085627,0.75,0.148550724638,20,20,0.95,4
0,diagnostic_uniform,search,4096,0.02,0.000555555555556,0.0133333333333,0.995833333333,0.00416666666667,0.95,0,24,24,0.95,2
0,diagnostic_uniform,reinforce,256,0.02,0.0969444444444,0.188333333333,0.520833333333,0.0302500813758,0,0.95652173913,1,1,1,21
0,diagnostic_uniform,reinforce,1024,0.02,0.0732638888889,0.168333333333,0.60018115942,0.0460391235832,0,0.898550724638,3,3,0.95,16
0,diagnostic_uniform,reinforce,4096,0.02,0.0732638888889,0.168333333333,0.60018115942,0.0460391235832,0,0.898550724638,3,3,0.95,16
0,inverse_gap,search,256,0.0283719882909,0.0236433235758,0.0567439765819,0.840289855072,0.0292335654593,0.52,0.663043478261,9,9,1,10
0,inverse_gap,search,1024,0.0283719882909,0.00709299707273,0.0283719882909,0.956775362319,0.0172213295225,0.73,0.177536231884,18,18,1,5
0,inverse_gap,search,4096,0.0283719882909,0,0,1,0,1,0,24,24,1,1
0,inverse_gap,reinforce,256,0.0283719882909,0.0732943030849,0.113487953164,0.518224637681,0.0304902606864,0,0.967391304348,1,1,1,22
0,inverse_gap,reinforce,1024,0.0283719882909,0.0697478045485,0.141859941455,0.533949275362,0.0364838229856,0,0.963768115942,1,1,1,21
0,inverse_gap,reinforce,4096,0.0283719882909,0.0673834721909,0.113487953164,0.553152173913,0.0378273926689,0,0.95652173913,1,1,1,21
