seed,dimension,epsilon,direct,balanced,coverage,error
0,3,0.071,0.0502352453427,0.0502352453427,0.0502352453427,2.77555756156e-17
1,4,0.217,0.0674353625739,0.0674353625739,0.104303236089,1.2490009027e-16
2,5,0.413,0.024075723386,0.024075723386,0.0332317752904,7.97972798949e-17
3,6,0.071,0.0115326555188,0.0115326555188,0.0115326555188,9.36750677027e-17
4,3,0.217,0.174662569676,0.174662569676,0.174662569676,1.66533453694e-16
5,4,0.413,0.0534837438739,0.0534837438739,0.0534837438739,5.55111512313e-17
6,5,0.071,0.0619828368903,0.0619828368903,0.0619828368903,9.71445146547e-17
7,6,0.217,0.0132612079547,0.0132612079547,0.0141217343197,3.46944695195e-17
8,3,0.413,0.177488854881,0.177488854881,0.181982999221,5.55111512313e-17
9,4,0.071,0.0608374522461,0.0608374522461,0.0608374522461,8.32667268469e-17
10,5,0.217,0.0437375421486,0.0437375421486,0.0437375421486,4.16333634234e-17
11,6,0.413,0.0838630320256,0.0838630320256,0.0838630320256,1.38777878078e-16
12,3,0.071,0.0294598735097,0.0294598735097,0.0294598735097,3.12250225676e-17
13,4,0.217,0.0283684979707,0.0283684979707,0.0283684979707,2.08166817117e-17
14,5,0.413,0.0713664163265,0.0713664163265,0.139498270059,1.11022302463e-16
15,6,0.071,0.0555353690994,0.0555353690994,0.0555353690994,1.2490009027e-16
16,3,0.217,0.0740997028837,0.0740997028837,0.0740997028837,2.77555756156e-17
17,4,0.413,0.0888112285209,0.0888112285209,0.0888112285209,6.93889390391e-17
18,5,0.071,0.0380483306717,0.0380483306717,0.0380483306717,2.08166817117e-17
19,6,0.217,0.0376324479608,0.0376324479608,0.0376324479608,4.85722573274e-17
20,3,0.413,0.0542761774935,0.0542761774935,0.0542761774935,6.93889390391e-18
21,4,0.071,0.0657173266691,0.0657173266691,0.0657173266691,1.66533453694e-16
22,5,0.217,0.0439444616315,0.0439444616315,0.0439444616315,4.85722573274e-17
23,6,0.413,0.05795346378,0.05795346378,0.05795346378,1.38777878078e-16
24,3,0.071,0.0546924116253,0.0546924116253,0.0546924116253,4.16333634234e-17
